427658,"C",-0.01,0.25,1.44,76.0,1.0
309522,"H",-0.1,-0.09,0.62,159.0,1.0
173024,"N",0.42,-0.76,3.58,106.0,1.0
104553,"N",1.91,0.99,3.51,91.0,1.0
54989,"N",0.6,0.59,2.36,63.0,1.0
163625,"H",0.05,-0.01,0.48,75.0,1.0
171712,"H",0.08,-0.18,0.64,95.0,1.0
198806,"H",0.11,-0.0,0.49,68.0,1.0
233289,"N",0.73,0.06,2.78,143.0,1.0
10522,"N",-0.59,-0.3,3.54,77.0,1.0
353558,"C",-0.49,-0.88,0.92,41.0,1.0
297991,"N",-1.17,2.37,4.15,124.0,1.0
169472,"N",-1.26,-0.53,3.84,96.0,1.0
101181,"H",0.0,0.04,0.41,70.0,1.0
92361,"H",-0.07,-0.05,0.5,96.0,1.0
171712,"C",0.01,-0.2,1.37,100.0,1.0
54748,"N",0.96,0.29,3.59,127.0,1.0
339602,"H",0.06,0.13,0.57,60.0,1.0
115776,"H",0.02,0.02,0.87,60.0,1.0
383700,"N",-0.85,1.15,5.29,51.0,1.0
6395,"H",-0.07,0.03,0.5,20.0,1.0
235912,"C",-1.42,-1.32,1.6,118.0,0.0
62557,"H",0.12,-0.07,0.51,84.0,1.0
100437,"C",-2.3,-2.46,1.7,87.0,0.0
310600,"H",0.18,-0.04,0.6,58.0,1.0
389302,"C",0.34,0.01,0.84,67.0,1.0
198414,"N",-0.45,1.51,5.16,71.0,1.0
398713,"C",0.2,0.16,1.32,118.0,1.0
372724,"N",0.02,-0.3,3.94,151.0,1.0
331109,"C",-1.47,-1.13,1.35,32.0,0.0
86137,"H",0.06,0.04,0.61,94.0,1.0
26321,"N",-3.97,-2.08,3.58,48.0,1.0
387290,"N",-1.04,-0.34,3.82,70.0,1.0
156565,"N",-0.59,0.32,3.76,90.0,1.0
208808,"C",1.76,1.57,1.42,64.0,0.0
82354,"C",-0.03,-0.16,1.42,129.0,1.0
209395,"N",0.3,0.77,3.71,61.0,1.0
457917,"C",-0.5,-0.53,1.27,136.0,1.0
326177,"H",0.09,-0.03,0.38,36.0,1.0
72167,"C",0.09,0.3,1.48,57.0,1.0
435428,"H",-0.17,-0.14,0.73,149.0,1.0
336943,"C",0.34,0.11,1.52,92.0,1.0
440745,"C",0.31,0.12,1.21,90.0,1.0
88537,"N",-1.43,0.21,4.06,81.0,1.0
11324,"N",-3.43,-3.19,3.75,95.0,1.0
216920,"C",0.25,0.44,0.82,47.0,1.0
209529,"N",0.39,0.02,3.53,59.0,1.0
363691,"N",-1.4,-0.2,1.98,37.0,1.0
195933,"N",0.8,0.6,3.44,86.0,1.0
316466,"N",-0.16,-0.78,5.45,146.0,1.0
154155,"C",0.13,0.08,1.06,32.0,1.0
267327,"H",0.08,-0.06,0.55,104.0,1.0
252851,"N",0.27,-0.61,2.86,46.0,1.0
164800,"H",-0.31,-0.25,0.51,35.0,1.0
161364,"N",1.21,1.06,4.02,33.0,1.0
428318,"H",0.4,0.35,0.67,126.0,1.0
353802,"H",0.11,0.08,0.32,44.0,1.0
159171,"N",0.08,0.21,3.72,108.0,1.0
246901,"N",1.11,1.84,4.69,56.0,1.0
244703,"H",0.17,0.09,0.61,117.0,1.0
105424,"H",-0.13,-0.11,0.53,28.0,1.0
417992,"H",-0.19,-0.06,0.53,110.0,1.0
105788,"C",-0.3,-0.01,1.31,162.0,1.0
383118,"N",-0.96,-0.34,2.06,37.0,1.0
248577,"H",-0.21,1.44,8.86,59.0,1.0
191782,"N",1.46,-0.26,3.09,57.0,1.0
208808,"N",1.75,0.95,3.29,68.0,1.0
168165,"H",0.17,-0.07,0.62,100.0,1.0
38338,"H",0.17,0.05,0.59,71.0,1.0
2928,"H",0.34,0.15,0.55,18.0,1.0
219578,"H",0.15,-0.01,0.66,88.0,1.0
70052,"C",0.07,-0.01,1.15,264.0,1.0
388772,"N",-1.81,-0.2,3.98,176.0,1.0
159841,"C",0.24,0.05,1.24,88.0,1.0
473677,"N",-0.2,0.32,2.87,124.0,1.0
467730,"N",0.93,0.39,2.6,64.0,1.0
276723,"C",0.17,0.12,1.34,131.0,1.0
140427,"C",0.16,-0.07,1.34,82.0,1.0
240854,"N",-0.41,0.54,3.73,100.0,1.0
356319,"N",-1.46,-0.75,3.72,108.0,1.0
